C,No. Folds,Accuracy,Error Rate,Sensitivty,Precision,Specificity,False Alarm Rate,F-Measure,AUC,Time
0.1,10,0.933333333333333,0.0666666666666667,0.98019801980198,0.925233644859813,0.836734693877551,0.163265306122449,0.951923076923077,0.908466356839766,27.9630977
0.1,10,0.916666666666667,0.0833333333333334,1,0.884259259259259,0.770642201834862,0.229357798165138,0.938574938574939,0.885321100917431,28.2749793
0.25,3,0.952,0.048,0.989598811292719,0.942008486562942,0.874617737003058,0.125382262996942,0.965217391304348,0.932108274147889,28.5331395
0.25,3,0.944,0.056,0.986486486486487,0.933238636363636,0.859281437125748,0.140718562874252,0.959124087591241,0.922883961806117,28.7325351
0.25,3,0.961,0.039,0.986425339366516,0.956140350877193,0.910979228486647,0.0890207715133531,0.971046770601336,0.948702283926581,29.2568233
0.25,5,0.961666666666667,0.0383333333333333,0.995049504950495,0.950354609929078,0.892857142857143,0.107142857142857,0.972188633615478,0.943953323903819,28.1734784
0.25,5,0.946666666666667,0.0533333333333333,0.985111662531017,0.938534278959811,0.868020304568528,0.131979695431472,0.961259079903148,0.926565983549773,28.6373599
0.25,5,0.953333333333333,0.0466666666666666,0.984536082474227,0.945544554455445,0.89622641509434,0.10377358490566,0.964646464646465,0.940381248784283,28.1969236
0.25,5,0.955,0.045,0.980676328502415,0.955294117647059,0.897849462365591,0.102150537634409,0.967818831942789,0.939262895434003,28.1950602
0.25,5,0.958333333333333,0.0416666666666666,0.987277353689567,0.950980392156863,0.903381642512077,0.0966183574879227,0.968789013732834,0.945329498100822,28.5379317
0.25,10,0.963333333333333,0.0366666666666666,0.990521327014218,0.958715596330275,0.898876404494382,0.101123595505618,0.974358974358974,0.9446988657543,27.7111852
0.25,10,0.963333333333333,0.0366666666666666,0.994818652849741,0.95049504950495,0.906542056074766,0.0934579439252337,0.972151898734177,0.950680354462254,27.5142362
0.25,10,0.95,0.05,0.974747474747475,0.950738916256158,0.901960784313726,0.0980392156862745,0.962593516209476,0.9383541295306,27.4539794
0.25,10,0.953333333333333,0.0466666666666666,1,0.936073059360731,0.852631578947368,0.147368421052632,0.966981132075472,0.926315789473684,27.559151
0.25,10,0.956666666666667,0.0433333333333333,0.985,0.951690821256039,0.9,0.1,0.968058968058968,0.9425,27.6456546
0.25,10,0.956666666666667,0.0433333333333333,0.984042553191489,0.948717948717949,0.910714285714286,0.0892857142857143,0.966057441253264,0.947378419452888,27.6861726
0.25,10,0.946666666666667,0.0533333333333333,0.985915492957746,0.94170403587444,0.850574712643678,0.149425287356322,0.963302752293578,0.918245102800712,28.2362153
0.25,10,0.96,0.04,0.975124378109453,0.96551724137931,0.929292929292929,0.0707070707070707,0.97029702970297,0.952208653701191,27.1384514
0.25,10,0.963333333333333,0.0366666666666666,0.98019801980198,0.965853658536585,0.928571428571429,0.0714285714285714,0.972972972972973,0.954384724186704,26.0495453
0.25,10,0.966666666666667,0.0333333333333333,1,0.950248756218905,0.908256880733945,0.0917431192660551,0.974489795918367,0.954128440366973,25.9310574
0.5,3,0.971,0.029,0.989598811292719,0.968023255813954,0.932721712538226,0.0672782874617737,0.978692138133725,0.961160261915473,27.0365591
0.5,3,0.956,0.044,0.987987987987988,0.948126801152738,0.892215568862275,0.107784431137725,0.967647058823529,0.940101778425132,26.7573076
0.5,3,0.969,0.031,0.981900452488688,0.971641791044776,0.943620178041543,0.0563798219584569,0.976744186046512,0.962760315265116,26.8141513
0.5,5,0.97,0.03,0.995049504950495,0.961722488038278,0.918367346938776,0.0816326530612245,0.978102189781022,0.956708425944635,26.1284176
0.5,5,0.956666666666667,0.0433333333333333,0.982630272952854,0.95421686746988,0.903553299492386,0.0964467005076142,0.968215158924205,0.94309178622262,25.9206233
0.5,5,0.961666666666667,0.0383333333333333,0.984536082474227,0.957393483709273,0.919811320754717,0.0801886792452831,0.970775095298602,0.952173701614472,25.795732
0.5,5,0.963333333333333,0.0366666666666666,0.975845410628019,0.971153846153846,0.935483870967742,0.0645161290322581,0.973493975903615,0.955664640797881,25.8051899
