Learning Cycle,N Folds,Accuracy,Error Rate,Sensitivty,Precision,Specificity,False Alarm Rate,F-Measures,AUC,Time
50,10,0.94,0.0600000000000001,0.979899497487437,0.933014354066986,0.861386138613861,0.138613861386139,0.955882352941177,0.920642818050649,12.9653807
50,10,0.906666666666667,0.0933333333333334,0.955445544554455,0.910377358490566,0.806122448979592,0.193877551020408,0.932367149758454,0.880783996767024,12.9572471
50,10,0.943333333333333,0.0566666666666666,0.976415094339623,0.945205479452055,0.863636363636364,0.136363636363636,0.960556844547564,0.920025728987993,13.1889257
50,10,0.93,0.07,0.961748633879781,0.926315789473684,0.88034188034188,0.11965811965812,0.943699731903485,0.921045257110831,13.1874975
50,10,0.926666666666667,0.0733333333333334,0.943589743589744,0.943589743589744,0.895238095238095,0.104761904761905,0.943589743589744,0.919413919413919,12.9824356
100,3,0.949,0.051,0.971851851851852,0.953488372093023,0.901538461538462,0.0984615384615385,0.962582538517975,0.936695156695157,52.9683873
100,3,0.936,0.0639999999999999,0.959641255605381,0.945508100147275,0.88821752265861,0.11178247734139,0.952522255192878,0.923929389131996,52.4199647
100,3,0.945,0.055,0.966616084977238,0.950746268656716,0.903225806451613,0.0967741935483871,0.958615500376223,0.934920945714426,52.3147717
100,5,0.943333333333333,0.0566666666666666,0.958536585365854,0.958536585365854,0.910526315789474,0.0894736842105263,0.958536585365854,0.934531450577664,36.4754775
100,5,0.943333333333333,0.0566666666666666,0.967901234567901,0.949152542372881,0.892307692307692,0.107692307692308,0.958435207823961,0.930104463437797,36.3106068
100,5,0.933333333333333,0.0666666666666667,0.95959595959596,0.940594059405941,0.882352941176471,0.117647058823529,0.95,0.920974450386215,36.5806573
100,5,0.935,0.0649999999999999,0.961352657004831,0.945368171021378,0.876344086021505,0.123655913978495,0.953293413173653,0.918848371513168,36.8267048
100,5,0.95,0.05,0.962962962962963,0.957894736842105,0.927927927927928,0.0720720720720721,0.96042216358839,0.945445445445445,36.3770783
100,10,0.953333333333333,0.0466666666666666,0.959183673469388,0.969072164948454,0.942307692307692,0.0576923076923077,0.964102564102564,0.95074568288854,26.0305949
100,10,0.966666666666667,0.0333333333333333,0.981308411214953,0.972222222222222,0.930232558139535,0.0697674418604651,0.976744186046512,0.955770484677244,25.5462402
100,10,0.966666666666667,0.0333333333333333,0.994871794871795,0.955665024630542,0.914285714285714,0.0857142857142857,0.974874371859297,0.954578754578755,28.4323925
100,10,0.936666666666667,0.0633333333333334,0.947619047619048,0.961352657004831,0.911111111111111,0.0888888888888889,0.954436450839329,0.929365079365079,25.1164532
100,10,0.94,0.0600000000000001,0.959390862944162,0.949748743718593,0.902912621359223,0.0970873786407767,0.954545454545455,0.931151742151693,25.1569347
100,10,0.946666666666667,0.0533333333333333,0.964824120603015,0.955223880597015,0.910891089108911,0.0891089108910891,0.96,0.937857604855963,25.1893237
100,10,0.913333333333333,0.0866666666666667,0.95049504950495,0.923076923076923,0.836734693877551,0.163265306122449,0.936585365853659,0.893614871691251,24.9578446
100,10,0.966666666666667,0.0333333333333333,0.981132075471698,0.97196261682243,0.931818181818182,0.0681818181818182,0.976525821596244,0.95647512864494,25.3197002
100,10,0.943333333333333,0.0566666666666666,0.956284153005464,0.951086956521739,0.923076923076923,0.0769230769230769,0.953678474114441,0.939680538041194,25.1444747
100,10,0.933333333333333,0.0666666666666667,0.953846153846154,0.944162436548223,0.895238095238095,0.104761904761905,0.948979591836735,0.924542124542125,24.945481
150,3,0.957,0.043,0.97037037037037,0.966076696165192,0.929230769230769,0.0707692307692308,0.968218773096822,0.94980056980057,76.5988894
150,3,0.937,0.0629999999999999,0.958146487294469,0.948224852071006,0.894259818731118,0.105740181268882,0.953159851301115,0.926203153012794,76.2979887
150,3,0.951,0.049,0.974203338391502,0.952522255192878,0.906158357771261,0.093841642228739,0.963240810202551,0.940180848081382,75.353951
150,5,0.946666666666667,0.0533333333333333,0.953658536585366,0.967821782178218,0.931578947368421,0.0684210526315789,0.960687960687961,0.942618741976893,54.067091
150,5,0.95,0.05,0.97037037037037,0.956204379562044,0.907692307692308,0.0923076923076923,0.963235294117647,0.939031339031339,53.9119768
150,5,0.941666666666667,0.0583333333333333,0.967171717171717,0.945679012345679,0.892156862745098,0.107843137254902,0.956304619225968,0.929664289958408,53.9670032
150,5,0.95,0.05,0.968599033816425,0.95933014354067,0.908602150537634,0.0913978494623656,0.963942307692308,0.93860059217703,56.0925101
