NN,N Folds,Accuracy,Error Rate,Sensitivty,Precision,Specificity,False Alarm Rate,F-Measures,AUC,Time
1,10,0.87,0.13,0.855721393034826,0.945054945054945,0.898989898989899,0.101010101010101,0.898172323759791,0.877355646012362,3.7561778
1,10,0.87,0.13,0.85024154589372,0.956521739130435,0.913978494623656,0.0860215053763441,0.900255754475703,0.882110020258688,3.777918
3,3,0.879,0.121,0.835658914728682,0.972924187725632,0.957746478873239,0.0422535211267606,0.899082568807339,0.896702696800961,8.5263622
3,3,0.89,0.11,0.860088365243004,0.974958263772955,0.953271028037383,0.0467289719626168,0.913928012519562,0.906679696640194,8.4891931
3,3,0.883,0.117,0.86283185840708,0.960591133004926,0.925465838509317,0.0745341614906833,0.909090909090909,0.894148848458198,8.4017183
3,5,0.881666666666667,0.118333333333333,0.841558441558442,0.970059880239521,0.953488372093023,0.0465116279069767,0.90125173852573,0.897523406825732,6.978427
3,5,0.891666666666667,0.108333333333333,0.846534653465347,0.991304347826087,0.98469387755102,0.0153061224489796,0.913217623497997,0.915614265508183,6.5487603
3,5,0.901666666666667,0.0983333333333334,0.87192118226601,0.980609418282548,0.963917525773196,0.0360824742268041,0.923076923076923,0.917919354019603,6.7411648
3,5,0.885,0.115,0.87468671679198,0.948369565217391,0.90547263681592,0.0945273631840796,0.910039113428944,0.89007967680395,6.654187
3,5,0.875,0.125,0.848039215686274,0.963788300835655,0.932291666666667,0.0677083333333334,0.902216427640156,0.890165441176471,6.6180647
3,10,0.906666666666667,0.0933333333333334,0.863157894736842,0.987951807228916,0.981818181818182,0.0181818181818182,0.921348314606742,0.922488038277512,3.8001096
3,10,0.866666666666667,0.133333333333333,0.830769230769231,0.958579881656805,0.933333333333333,0.0666666666666667,0.89010989010989,0.882051282051282,3.8021539
3,10,0.903333333333333,0.0966666666666667,0.855670103092783,0.994011976047904,0.990566037735849,0.00943396226415094,0.919667590027701,0.923118070414316,3.7861474
3,10,0.873333333333333,0.126666666666667,0.828571428571429,0.988636363636364,0.977777777777778,0.0222222222222223,0.901554404145078,0.903174603174603,3.7528387
3,10,0.906666666666667,0.0933333333333334,0.879227053140097,0.983783783783784,0.967741935483871,0.032258064516129,0.928571428571429,0.923484494311984,3.7821932
3,10,0.913333333333333,0.0866666666666667,0.889447236180904,0.977900552486188,0.96039603960396,0.0396039603960396,0.931578947368421,0.924921637892432,3.79631
3,10,0.87,0.13,0.857843137254902,0.945945945945946,0.895833333333333,0.104166666666667,0.89974293059126,0.876838235294118,3.8217768
3,10,0.91,0.09,0.907692307692308,0.951612903225806,0.914285714285714,0.0857142857142857,0.929133858267717,0.910989010989011,3.7937386
3,10,0.876666666666667,0.123333333333333,0.855721393034826,0.955555555555556,0.919191919191919,0.0808080808080808,0.902887139107612,0.887456656113373,3.7788284
3,10,0.876666666666667,0.123333333333333,0.845410628019324,0.972222222222222,0.946236559139785,0.053763440860215,0.904392764857881,0.895823593579554,3.8114451
5,3,0.872,0.128,0.834108527131783,0.962432915921288,0.940845070422535,0.0591549295774648,0.893687707641196,0.887476798777159,8.5676751
5,3,0.893,0.107,0.863033873343152,0.976666666666667,0.956386292834891,0.043613707165109,0.916340891321345,0.909710083089021,8.6512714
5,3,0.884,0.116,0.864306784660767,0.960655737704918,0.925465838509317,0.0745341614906833,0.909937888198758,0.894886311585042,8.5060736
5,5,0.878333333333333,0.121666666666667,0.833766233766234,0.972727272727273,0.958139534883721,0.0418604651162791,0.897902097902098,0.895952884324977,6.6840052
5,5,0.886666666666667,0.113333333333333,0.841584158415842,0.988372093023256,0.979591836734694,0.0204081632653061,0.909090909090909,0.910587997575268,6.6491508
5,5,0.9,0.1,0.874384236453202,0.975274725274725,0.95360824742268,0.0463917525773195,0.922077922077922,0.913996241937941,6.6830747
5,5,0.893333333333333,0.106666666666667,0.884711779448622,0.951482479784367,0.91044776119403,0.0895522388059702,0.916883116883117,0.897579770321326,6.6359105
5,5,0.883333333333333,0.116666666666667,0.857843137254902,0.966850828729282,0.9375,0.0625,0.909090909090909,0.897671568627451,6.6068472
